검사일시,생산라인,온도,진동,회전수,압력
2026-08-24 19:00,B라인,0.618,0.455,0.534,0.368
2026-08-25 02:00,A라인,0.062,0.073,0.019,0.005
2026-08-25 09:00,A라인,0.112,0.12,0.013,0.091
2026-08-25 07:00,C라인,0.883,0.993,0.941,0.716
2026-08-25 12:00,A라인,0.114,0.073,0.005,0.022
2026-08-26 14:00,C라인,0.913,0.935,0.978,0.716
2026-08-26 05:00,C라인,0.973,0.938,0.976,0.983
2026-08-24 08:00,C라인,0.915,0.895,0.927,0.68
2026-08-26 11:00,A라인,0.066,0.004,0.024,0.014
2026-08-25 00:00,B라인,0.504,0.56,0.532,0.459
2026-08-25 17:00,C라인,0.918,0.949,0.988,0.695
2026-08-25 21:00,A라인,0.097,0.127,0.05,0.038
2026-08-24 23:00,A라인,0.091,0.0,0.037,0.005
2026-08-26 05:00,A라인,0.016,0.055,0.012,0.031
2026-08-26 16:00,C라인,0.948,0.873,0.973,0.707
2026-08-24 14:00,B라인,0.595,0.524,0.513,0.363
2026-08-24 17:00,C라인,0.885,0.924,0.982,0.678
2026-08-26 13:00,A라인,0.045,0.098,0.052,0.031
2026-08-24 19:00,A라인,0.072,0.084,0.002,0.014
2026-08-25 20:00,C라인,0.997,0.898,0.943,0.406
2026-08-26 02:00,A라인,0.536,0.036,0.055,0.041
2026-08-26 00:00,C라인,0.945,0.876,0.992,0.678
2026-08-25 08:00,A라인,0.05,0.095,0.06,0.058
2026-08-25 06:00,B라인,0.576,0.545,0.471,0.387
2026-08-25 05:00,A라인,0.536,0.007,0.016,0.019
2026-08-25 10:00,A라인,0.064,0.12,0.056,0.079
2026-08-24 19:00,C라인,0.892,0.982,0.976,0.731
2026-08-25 20:00,A라인,0.084,0.131,0.003,0.099
2026-08-25 13:00,A라인,0.084,0.011,0.046,0.05
2026-08-26 09:00,B라인,0.525,0.465,0.48,0.394
2026-08-25 19:00,A라인,0.683,0.022,0.036,0.002
2026-08-25 19:00,B라인,0.516,0.491,0.52,0.404
2026-08-24 14:00,B라인,0.594,0.524,0.513,0.368
2026-08-24 21:00,C라인,0.988,0.935,0.96,0.745
2026-08-24 06:00,B라인,0.587,0.509,0.5,0.433
2026-08-26 09:00,A라인,0.048,0.062,0.046,0.072
2026-08-24 21:00,A라인,0.081,0.113,0.047,0.046
2026-08-24 12:00,A라인,0.119,0.062,0.061,0.096
2026-08-25 13:00,C라인,0.536,0.924,0.96,0.678
2026-08-24 13:00,C라인,0.952,0.916,0.929,0.757
2026-08-24 23:00,B라인,0.499,0.487,0.536,0.377
2026-08-24 16:00,C라인,0.97,0.982,0.964,0.733
2026-08-26 01:00,B라인,0.526,0.509,0.526,0.406
2026-08-26 16:00,B라인,0.62,0.458,0.532,0.428
2026-08-24 10:00,A라인,0.059,0.065,0.007,0.026
2026-08-25 11:00,B라인,0.517,0.473,0.49,0.462
2026-08-25 10:00,C라인,0.988,0.964,0.982,0.772
2026-08-24 13:00,B라인,0.537,0.436,0.532,0.38
2026-08-25 14:00,C라인,0.98,0.935,0.975,0.755
2026-08-24 09:00,A라인,0.023,0.502,0.035,0.079
2026-08-24 15:00,A라인,0.073,0.0,0.043,0.046
2026-08-25 22:00,B라인,0.614,0.462,0.516,0.394
2026-08-26 12:00,A라인,0.103,0.109,0.041,0.041
2026-08-25 02:00,B라인,0.574,0.542,0.528,0.406
2026-08-25 19:00,C라인,0.98,0.935,0.966,0.714
2026-08-24 08:00,A라인,0.659,0.076,0.025,0.005
2026-08-25 07:00,A라인,0.022,0.018,0.061,0.029
2026-08-25 21:00,C라인,0.975,1.0,0.976,0.738
2026-08-25 03:00,A라인,0.024,0.029,0.034,0.0
2026-08-26 01:00,C라인,0.941,0.945,0.979,0.738
2026-08-25 11:00,C라인,0.975,0.949,0.957,0.76
2026-08-26 04:00,B라인,0.576,0.509,0.532,0.428
2026-08-26 07:00,C라인,0.945,0.967,0.998,0.704
2026-08-25 10:00,B라인,0.53,0.465,0.467,0.459
2026-08-25 17:00,B라인,0.529,0.484,0.533,0.394
2026-08-24 14:00,A라인,0.037,0.058,0.039,0.101
2026-08-24 15:00,B라인,0.524,0.524,0.465,0.45
2026-08-25 12:00,B라인,0.546,0.553,0.471,0.421
2026-08-26 03:00,C라인,0.99,0.967,0.982,0.673
2026-08-26 01:00,A라인,0.076,0.044,0.018,0.007
2026-08-25 04:00,C라인,0.117,0.953,0.949,0.69
2026-08-26 06:00,C라인,0.921,0.898,0.99,0.745
2026-08-26 05:00,B라인,0.565,0.509,0.468,0.399
2026-08-25 17:00,A라인,0.077,0.102,0.029,0.067
2026-08-25 18:00,C라인,0.949,0.949,0.968,0.776
2026-08-26 11:00,B라인,0.519,0.473,0.486,0.418
2026-08-26 03:00,A라인,0.063,0.033,0.007,0.101
2026-08-24 06:00,A라인,0.01,0.065,0.028,0.024
2026-08-26 00:00,A라인,0.103,0.087,0.046,0.091
2026-08-24 13:00,A라인,0.536,0.073,0.043,0.038
2026-08-25 03:00,B라인,0.606,0.553,0.464,0.373
2026-08-25 05:00,C라인,0.939,0.989,0.991,0.745
2026-08-25 09:00,C라인,0.885,0.909,0.977,0.7
2026-08-24 16:00,B라인,0.521,0.491,0.467,0.401
