수집시각,구역,CPU온도,전력,응답시간,메모리
2026-08-24 08:00,Z1-알파,0.0815,0.145,0.0465,0.1955
2026-08-24 08:00,Z2-브라보,0.5427,0.4785,0.5665,0.397
2026-08-24 08:00,Z3-찰리,0.9683,0.9558,0.9476,0.5689
2026-08-24 09:00,Z1-알파,0.1035,0.1988,0.1615,0.2482
2026-08-24 09:00,Z2-브라보,0.4527,0.4452,0.56,0.3564
2026-08-24 09:00,Z3-찰리,0.94,0.9192,0.88,0.6102
2026-08-24 10:00,Z1-알파,0.1195,0.0891,0.1382,0.2557
2026-08-24 10:00,Z2-브라보,0.4687,0.4937,0.4335,0.3643
2026-08-24 10:00,Z3-찰리,0.9565,0.9753,0.9265,0.6484
2026-08-24 11:00,Z1-알파,0.5213,0.0879,0.1193,0.2661
2026-08-24 11:00,Z2-브라보,0.5148,0.5344,0.4756,0.43
2026-08-24 11:00,Z3-찰리,0.9683,0.952,0.8305,0.6223
2026-08-24 12:00,Z1-알파,0.0718,0.0749,0.04,0.2641
2026-08-24 12:00,Z2-브라보,0.5135,0.4235,0.488,0.4539
2026-08-24 12:00,Z3-찰리,0.9772,0.9396,0.8145,0.6139
2026-08-24 13:00,Z1-알파,0.0861,0.5002,0.1673,0.1905
2026-08-24 13:00,Z2-브라보,0.4797,0.5542,0.552,0.3536
2026-08-24 13:00,Z3-찰리,0.9193,0.8166,0.8051,0.5582
2026-08-24 14:00,Z1-알파,0.1199,0.1694,0.0022,0.2116
2026-08-24 14:00,Z2-브라보,0.5046,0.5219,0.496,0.3714
2026-08-24 14:00,Z3-찰리,0.984,0.8541,0.9244,0.5855
2026-08-24 15:00,Z1-알파,0.0562,0.13,0.0422,0.2716
2026-08-24 15:00,Z2-브라보,0.473,0.5195,0.5433,0.408
2026-08-24 15:00,Z3-찰리,0.8526,0.8843,0.8502,0.5968
2026-08-24 16:00,Z1-알파,0.7166,0.1239,0.0735,0.1882
2026-08-24 16:00,Z2-브라보,0.4324,0.5328,0.5651,0.397
2026-08-24 16:00,Z3-찰리,0.9472,0.8222,0.9171,0.6632
2026-08-24 17:00,Z1-알파,0.1106,0.1327,0.0749,0.2384
2026-08-24 17:00,Z2-브라보,0.5211,0.4621,0.4749,0.4041
2026-08-24 17:00,Z3-찰리,0.9155,0.883,0.8436,0.6268
2026-08-24 18:00,Z1-알파,0.1579,0.0699,0.1476,0.2395
2026-08-24 18:00,Z2-브라보,0.4894,0.4622,0.4531,0.4448
2026-08-24 18:00,Z3-찰리,0.8391,0.8756,0.9018,0.585
2026-08-24 19:00,Z1-알파,0.084,0.1039,0.0938,0.2023
2026-08-24 19:00,Z2-브라보,0.5224,0.5933,0.5091,0.4593
2026-08-24 19:00,Z3-찰리,0.8438,0.8332,0.8676,0.6659
2026-08-24 20:00,Z1-알파,0.079,0.105,0.168,0.2298
2026-08-24 20:00,Z2-브라보,0.4481,0.4874,0.4764,0.3791
2026-08-24 21:00,Z1-알파,0.0469,0.0794,0.0087,0.26
2026-08-24 21:00,Z2-브라보,0.5059,0.5736,0.488,0.3993
2026-08-24 21:00,Z2-브라보,0.5072,0.5736,0.488,0.4
2026-08-24 21:00,Z3-찰리,0.8868,0.9322,0.9367,0.612
2026-08-24 22:00,Z1-알파,0.0937,0.0327,0.0829,0.2914
2026-08-24 22:00,Z2-브라보,0.516,0.4954,0.5738,0.4459
2026-08-24 22:00,Z3-찰리,0.9506,0.8781,0.9098,0.5802
2026-08-24 23:00,Z1-알파,0.0642,0.1626,0.16,0.2107
2026-08-24 23:00,Z2-브라보,0.5118,0.4225,0.4647,0.3993
2026-08-24 23:00,Z3-찰리,0.9764,0.8719,0.9105,0.6782
2026-08-25 00:00,Z1-알파,0.0756,0.1435,0.0313,0.213
